Company Name,Category,Website,Company Size,HQ Location,Key Roles,Notes
OpenAI,AI-First Product,https://openai.com,1000-2000,San Francisco,Product Manager;AI Researcher,Research-driven with strong product collaboration
Cohere,AI-First Product,https://cohere.ai,200-500,New York,Research Engineer;Solutions Architect,Emphasis on safe and responsible AI
Airtable,AI-First Product,https://airtable.com,500-1000,San Francisco,Solutions Consultant;Platform PM,Low-code platform championing user automation
Slalom,Boutique Consultancy,https://slalom.com,12000+,Seattle,AI Strategy Consultant;Solution Architect,Data & AI practice with client co-design focus
West Monroe Partners,Boutique Consultancy,https://westmonroepartners.com,1500-2000,Chicago,Digital Transformation Lead;Automation Consultant,Hands-on AI/automation advisory
Booz Allen Hamilton,Boutique Consultancy,https://boozallen.com,27000+,McLean,AI Analytics Consultant;Strategy Manager,Large-scale federal & commercial AI engagements
Runway ML,High-Growth Startup,https://runwayml.com,200-500,San Francisco,Product Ops Manager;ML Engineer,Creative AI workflows for media & design
Weights & Biases,High-Growth Startup,https://wandb.com,200-500,San Francisco,Customer Success Engineer;Data Scientist,ML experiment tracking with deep engineer feedback loops
Fivetran,High-Growth Startup,https://fivetran.com,500-1000,Oakland,Integration Engineer;Solutions Architect,Automated data pipelines with rapid scale
Zapier,Remote-First Tech,https://zapier.com,400-500,Remote,Technical Program Manager;Customer Success Engineer,Docs-driven async culture focused on workflows
Basecamp,Remote-First Tech,https://basecamp.com,50-100,Chicago,Product Manager;Support Engineer,Handbook-first approach to remote collaboration
GitLab,Remote-First Tech,https://gitlab.com,1500-2000,Remote,Product Ops;Technical Program Manager,Complete DevOps platform with strong async practices
